[2023-01-29 18:53:49,581] Precondition - Step 01 : Open URL 
[2023-01-29 18:53:59,796] Precondition - Step 02 : Enter username + password  
[2023-01-29 18:54:00,197] Precondition - Step 03 : Click button Login  
[2023-01-29 18:54:01,310] Precondition - Step 04 : Click New Customer   
[2023-01-29 18:54:01,835] TC_01 - Name cannot be empty
[2023-01-29 18:54:01,836] TC_01 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:02,071] TC_01 - Step 02 : Verify message not be blank display
[2023-01-29 18:54:02,148]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:02,150] TC_01 - Name cannot be numberic
[2023-01-29 18:54:02,150] TC_01 - Step 03 : Enter number into name field 
[2023-01-29 18:54:02,346] TC_01 - Step 04 : Verify error message
[2023-01-29 18:54:02,431]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:02,431] TC_01 - Step 05 : Enter number and text  into name field 
[2023-01-29 18:54:02,618] TC_01 - Step 06 : Verify error message
[2023-01-29 18:54:02,680]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:02,681] TC_01 - Name cannot have special characters
[2023-01-29 18:54:02,681] TC_01 - Step 07 : Enter special charactor into name field
[2023-01-29 18:54:02,879] TC_01 - Step 08 : Verify error message
[2023-01-29 18:54:02,962]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:02,962] TC_01 - Name cannot have first is  space 
[2023-01-29 18:54:02,963] TC_01 - Step 01 : Enter first is blank space
[2023-01-29 18:54:03,152] TC_01 - Step 01 : Verify error message
[2023-01-29 18:54:03,215]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:03,221] TC_02 - Address cannot be empty 
[2023-01-29 18:54:03,222] TC_02 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:03,513]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:03,513] TC_02 - Address cannot have first is  space 
[2023-01-29 18:54:03,513] TC_02 - Step 02 : Enter first is blank space
[2023-01-29 18:54:03,683] TC_02 - Step 03 : Verify error message
[2023-01-29 18:54:03,751]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:03,753] TC_03 - City cannot be empty
[2023-01-29 18:54:03,754] TC_03 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:03,955] TC_03 - Step 02 : Verify message not be blank display
[2023-01-29 18:54:04,013]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:04,014] TC_03 - City cannot be numberic
[2023-01-29 18:54:04,014] TC_03 - Step 03 : Enter number into City field 
[2023-01-29 18:54:04,201] TC_03 - Step 04 : Verify error message
[2023-01-29 18:54:04,262]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:04,262] TC_03 - Step 05 : Enter number and text  into City field 
[2023-01-29 18:54:04,433] TC_03 - Step 06 : Verify error message
[2023-01-29 18:54:04,499]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:04,499] TC_03 - City cannot have special characters
[2023-01-29 18:54:04,499] TC_03 - Step 07 : Enter special charactor into name field
[2023-01-29 18:54:04,694] TC_03 - Step 08 : Verify error message
[2023-01-29 18:54:04,750]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:04,750] TC_03 - City cannot have first is  space 
[2023-01-29 18:54:04,750] TC_03 - Step 01 : Enter first is blank space
[2023-01-29 18:54:04,938] TC_03 - Step 01 : Verify error message
[2023-01-29 18:54:05,003]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:05,005] TC_04 - state cannot be empty
[2023-01-29 18:54:05,005] TC_04 - Step 01 : Press Tab and move the next field 
[2023-01-29 18:54:05,208] TC_04 - Step 02 : Verify message not be blank display
[2023-01-29 18:54:05,285]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:05,285] TC_04 - state cannot be numberic
[2023-01-29 18:54:05,285] TC_04 - Step 03 : Enter number into state field 
[2023-01-29 18:54:05,468] TC_04 - Step 04 : Verify error message
[2023-01-29 18:54:05,536]  -------------------------- PASSED -------------------------- 
[2023-01-29 18:54:05,536] TC_04 - Step 05 : Enter number and text  into state field 
[2023-01-29 18:54:05,706] TC_04 - Step 06 : Verify error message
[2023-01-29 18:54:05,766]  -------------------------- PASSED -------------------------- 
